"filename", "language", "Python", "comment", "blank", "total"
"e:\UBC\Research\Biopsy localisation\biopsy-localization-python-MM\biopsylocalization-python\python_files_dcm_meta_based\biopsy_localization_convex_main.py", "Python", -12, -115, 40, -87
"e:\UBC\Research\Biopsy localisation\biopsy-localization-python-MM\biopsylocalization-python\python_files_dcm_meta_based\point_containment_tools.py", "Python", -2, 2, 0, 0
"e:\UBC\Research\Biopsy localisation\biopsy-localization-python-MM\biopsylocalization-python\python_files_dcm_meta_based\uncertainty_file_writer.py", "Python", 39, 3, 10, 52
"Total", "-", 25, -110, 50, -35
