[Thread 57] ✅ Checking Point (1.641031, 2.871331) -> ring_start=1824, ring_end=1856, Inside=0, Case=0
[Thread 58] ✅ Checking Point (2.871331, 1.714559) -> ring_start=1856, ring_end=1888, Inside=0, Case=1
[Thread 59] ✅ Checking Point (1.714559, 2.571419) -> ring_start=1888, ring_end=1920, Inside=0, Case=1
[Thread 60] ✅ Checking Point (2.571419, 2.067904) -> ring_start=1920, ring_end=1952, Inside=0, Case=1
[Thread 61] ✅ Checking Point (2.067904, 0.868757) -> ring_start=1952, ring_end=1984, Inside=0, Case=0
[Thread 62] ✅ Checking Point (0.868757, 1.321823) -> ring_start=1984, ring_end=2016, Inside=1, Case=1
[Thread 63] ✅ Checking Point (1.321823, 2.810273) -> ring_start=2016, ring_end=2048, Inside=0, Case=0
[Thread 64] ✅ Checking Point (2.810273, 0.184395) -> ring_start=2048, ring_end=2080, Inside=0, Case=1
[Thread 65] ✅ Checking Point (0.184395, 1.844890) -> ring_start=2080, ring_end=2112, Inside=0, Case=1
[Thread 66] ✅ Checking Point (1.844890, 0.427707) -> ring_start=2112, ring_end=2144, Inside=0, Case=1
[Thread 67] ✅ Checking Point (0.427707, 0.389065) -> ring_start=2144, ring_end=2176, Inside=0, Case=1
[Thread 68] ✅ Checking Point (0.389065, 0.311855) -> ring_start=2176, ring_end=2208, Inside=1, Case=1
[Thread 69] ✅ Checking Point (0.311855, 2.905091) -> ring_start=2208, ring_end=2240, Inside=0, Case=0
[Thread 70] ✅ Checking Point (2.905091, 2.417842) -> ring_start=2240, ring_end=2272, Inside=0, Case=1
[Thread 71] ✅ Checking Point (2.417842, 1.251810) -> ring_start=2272, ring_end=2304, Inside=0, Case=0
[Thread 72] ✅ Checking Point (1.251810, 1.357376) -> ring_start=2304, ring_end=2336, Inside=1, Case=1
[Thread 73] ✅ Checking Point (1.357376, 1.457214) -> ring_start=2336, ring_end=2368, Inside=0, Case=0
[Thread 74] ✅ Checking Point (1.457214, 0.625586) -> ring_start=2368, ring_end=2400, Inside=0, Case=1
[Thread 75] ✅ Checking Point (0.625586, 2.258711) -> ring_start=2400, ring_end=2432, Inside=0, Case=1
[Thread 76] ✅ Checking Point (2.258711, 0.334790) -> ring_start=2432, ring_end=2464, Inside=0, Case=1
[Thread 77] ✅ Checking Point (0.334790, 0.554258) -> ring_start=2464, ring_end=2496, Inside=0, Case=1
[Thread 78] ✅ Checking Point (0.554258, 1.195081) -> ring_start=2496, ring_end=2528, Inside=1, Case=1
[Thread 79] ✅ Checking Point (1.195081, 2.461788) -> ring_start=2528, ring_end=2560, Inside=0, Case=0
[Thread 80] ✅ Checking Point (2.461788, 1.843027) -> ring_start=2560, ring_end=2592, Inside=0, Case=1
[Thread 81] ✅ Checking Point (1.843027, 0.871060) -> ring_start=2592, ring_end=2624, Inside=0, Case=0
[Thread 82] ✅ Checking Point (0.871060, 0.321603) -> ring_start=2624, ring_end=2656, Inside=0, Case=1
[Thread 83] ✅ Checking Point (0.321603, 0.883972) -> ring_start=2656, ring_end=2688, Inside=1, Case=1
[Thread 84] ✅ Checking Point (0.883972, 1.667873) -> ring_start=2688, ring_end=2720, Inside=1, Case=1
[Thread 85] ✅ Checking Point (1.667873, 2.143848) -> ring_start=2720, ring_end=2752, Inside=0, Case=0
[Thread 86] ✅ Checking Point (2.143848, 2.926762) -> ring_start=2752, ring_end=2784, Inside=1, Case=1
[Thread 87] ✅ Checking Point (2.926762, 0.105455) -> ring_start=2784, ring_end=2816, Inside=0, Case=0
[Thread 88] ✅ Checking Point (0.105455, 1.191095) -> ring_start=2816, ring_end=2848, Inside=1, Case=1
[Thread 89] ✅ Checking Point (1.191095, 2.168815) -> ring_start=2848, ring_end=2880, Inside=0, Case=0
[Thread 90] ✅ Checking Point (2.168815, 2.571127) -> ring_start=2880, ring_end=2912, Inside=1, Case=1
[Thread 91] ✅ Checking Point (2.571127, 2.238408) -> ring_start=2912, ring_end=2944, Inside=0, Case=0
[Thread 92] ✅ Checking Point (2.238408, 0.778121) -> ring_start=2944, ring_end=2976, Inside=0, Case=1
[Thread 93] ✅ Checking Point (0.778121, 0.308971) -> ring_start=2976, ring_end=3008, Inside=0, Case=0
[Thread 94] ✅ Checking Point (0.308971, 2.447943) -> ring_start=3008, ring_end=3040, Inside=1, Case=1
[Thread 95] ✅ Checking Point (2.447943, 0.798639) -> ring_start=3040, ring_end=3072, Inside=0, Case=0
[Thread 96] ✅ Checking Point (0.798639, 1.995764) -> ring_start=3072, ring_end=3104, Inside=1, Case=1
[Thread 97] ✅ Checking Point (1.995764, 1.315739) -> ring_start=3104, ring_end=3136, Inside=0, Case=0
[Thread 98] ✅ Checking Point (1.315739, 1.420085) -> ring_start=3136, ring_end=3168, Inside=1, Case=1
[Thread 99] ✅ Checking Point (1.420085, 1.714541) -> ring_start=3168, ring_end=3200, Inside=0, Case=0
[Thread 100] ✅ Checking Point (1.714541, 1.665948) -> ring_start=3200, ring_end=3232, Inside=1, Case=1
[Thread 101] ✅ Checking Point (1.665948, 0.048182) -> ring_start=3232, ring_end=3264, Inside=0, Case=0
[Thread 102] ✅ Checking Point (0.048182, 1.154827) -> ring_start=3264, ring_end=3296, Inside=1, Case=1
[Thread 103] ✅ Checking Point (1.154827, 1.717803) -> ring_start=3296, ring_end=3328, Inside=0, Case=0
[Thread 104] ✅ Checking Point (1.717803, 2.863986) -> ring_start=3328, ring_end=3360, Inside=1, Case=1
