"filename", "language", "Python", "JSON", "comment", "blank", "total"
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\Junk\test_book.ipynb", "JSON", 0, 41, 0, 0, 41
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\MC_simulator_convex.py", "Python", 175, 0, 9, 31, 215
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\biopsy_creator.py", "Python", 1, 0, 0, 0, 1
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\biopsy_localization_convex_main.py", "Python", 118, 0, 15, 34, 167
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\math_funcs.py", "Python", 14, 0, 15, 4, 33
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\plotting_funcs.py", "Python", 15, 0, 0, 4, 19
"Total", "-", 323, 41, 39, 73, 476
