"filename", "language", "Python", "JSON", "comment", "blank", "total"
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\Junk\test_book.ipynb", "JSON", 0, 69, 0, 0, 69
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\anatomy_reconstructor_tools.py", "Python", 43, 0, -28, 5, 20
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\biopsy_localization_convex_main.py", "Python", 41, 0, -52, 4, -7
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\plotting_funcs.py", "Python", 35, 0, 0, 8, 43
"Total", "-", 119, 69, -80, 17, 125
