"filename", "language", "Python", "comment", "blank", "total"
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\anatomy_reconstructor_tools.py", "Python", 5, 0, 1, 6
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\biopsy_localization_convex_main.py", "Python", 68, 53, 30, 151
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\plotting_funcs.py", "Python", 32, -2, 8, 38
"h:\UBC\Research\Biopsy localisation\biopsy-localization-python\python_files_dcm_meta_based\point_containment_tools.py", "Python", 82, 11, 16, 109
"Total", "-", 187, 62, 55, 304
